"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
2.307822900E-2,5.037325180E1,1.631052800E1,NaN,NaN,NaN,NaN,2.057639069E0,6.999990234E2,0.000000000E0,-1.000000000E0
1.036162968E0,5.037557541E1,1.628174343E1,6.042103973E2,6.489975586E2,0.000000000E0,NaN,2.058020164E0,4.782360077E0,5.325804710E0,2.900000000E1
1.298699843E0,5.037557199E1,1.628174308E1,6.044264513E2,6.492136230E2,0.000000000E0,NaN,2.058170577E0,3.790092468E0,4.087427139E0,2.900000000E1
2.298669530E0,5.037557180E1,1.628174518E1,6.046111447E2,6.493983154E2,0.000000000E0,NaN,2.058299142E0,3.790092468E0,3.218845844E0,3.200000000E1
3.298186145E0,5.037557135E1,1.628174685E1,6.047803341E2,6.495675049E2,0.000000000E0,NaN,2.058488489E0,3.790092468E0,2.637041330E0,3.200000000E1
4.298549947E0,5.037557300E1,1.628174751E1,6.051496022E2,6.499367676E2,0.000000000E0,NaN,2.058541355E0,3.790092468E0,2.500000000E0,3.200000000E1
5.297992915E0,5.037557318E1,1.628174820E1,6.052626404E2,6.500498047E2,0.000000000E0,NaN,2.059144537E0,3.790092468E0,2.500000000E0,3.300000000E1
6.298236404E0,5.037557688E1,1.628174198E1,6.055543947E2,6.503415527E2,3.400000036E-1,0.000000000E0,2.060141511E0,3.790092468E0,2.500000000E0,3.300000000E1
7.297958748E0,5.037557320E1,1.628172916E1,6.060388710E2,6.508260498E2,5.400000215E-1,0.000000000E0,2.060860717E0,3.790092468E0,2.500000000E0,3.300000000E1
8.298363695E0,5.037557238E1,1.628171910E1,6.055477719E2,6.503349609E2,5.400000215E-1,0.000000000E0,2.061716869E0,3.790092468E0,2.500000000E0,3.300000000E1
9.297704423E0,5.037558006E1,1.628171996E1,6.054708911E2,6.502580566E2,4.099999964E-1,0.000000000E0,2.062698372E0,3.790092468E0,2.500000000E0,3.300000000E1
1.029830802E1,5.037558816E1,1.628172546E1,6.051701382E2,6.499572754E2,7.799999714E-1,1.750000000E1,2.063449446E0,3.790092468E0,2.500000000E0,3.300000000E1
1.129792645E1,5.037559121E1,1.628173491E1,6.049272346E2,6.497143555E2,6.399999857E-1,1.789999962E1,2.064678499E0,3.790092468E0,2.500000000E0,3.100000000E1
1.229845312E1,5.037559228E1,1.628175216E1,6.049072315E2,6.496943359E2,1.179999948E0,7.730000305E1,2.065921070E0,3.790092468E0,2.500000000E0,3.200000000E1
1.329793083E1,5.037559336E1,1.628176960E1,6.057275606E2,6.505146484E2,9.800000191E-1,7.809999847E1,2.066952362E0,3.790092468E0,2.500000000E0,3.200000000E1
1.429846635E1,5.037559587E1,1.628178360E1,6.054296051E2,6.502166748E2,9.599999785E-1,6.640000153E1,2.068180597E0,3.790092468E0,2.500000000E0,3.100000000E1
1.529805932E1,5.037560025E1,1.628179950E1,6.051737710E2,6.499608154E2,1.210000038E0,6.709999847E1,2.069174316E0,3.790092468E0,2.500000000E0,3.200000000E1
1.629785484E1,5.037560357E1,1.628181251E1,6.047911004E2,6.495781250E2,8.399999738E-1,6.640000153E1,2.069844989E0,3.790092468E0,2.500000000E0,3.200000000E1
1.729851025E1,5.037560470E1,1.628182180E1,6.045114478E2,6.492984619E2,6.200000048E-1,6.640000153E1,2.070206549E0,3.790092468E0,2.500000000E0,3.200000000E1
1.829801166E1,5.037560226E1,1.628182517E1,6.050873709E2,6.498743896E2,3.499999940E-1,6.640000153E1,2.070558131E0,3.790092468E0,2.500000000E0,3.200000000E1
1.929839400E1,5.037559956E1,1.628182259E1,6.052598462E2,6.500468750E2,0.000000000E0,NaN,2.070793396E0,3.790092468E0,2.500000000E0,3.200000000E1
2.029822020E1,5.037559752E1,1.628182171E1,6.052376227E2,6.500246582E2,0.000000000E0,NaN,2.070936217E0,3.790092468E0,2.500000000E0,3.200000000E1
2.129797885E1,5.037559629E1,1.628182113E1,6.052703334E2,6.500573730E2,0.000000000E0,NaN,2.071066060E0,3.790092468E0,2.500000000E0,3.200000000E1
2.229845213E1,5.037559513E1,1.628182092E1,6.053019460E2,6.500889893E2,0.000000000E0,NaN,2.071149603E0,3.790092468E0,2.500000000E0,3.100000000E1
2.329805244E1,5.037559438E1,1.628182099E1,6.052846099E2,6.500716553E2,0.000000000E0,NaN,2.071168318E0,4.312033653E0,2.563335419E0,3.000000000E1
2.429844718E1,5.037559431E1,1.628182075E1,6.052456691E2,6.500327148E2,0.000000000E0,NaN,2.071201319E0,5.482873917E0,2.963146210E0,2.800000000E1
2.529865567E1,5.037559449E1,1.628182038E1,6.051543607E2,6.499414062E2,0.000000000E0,NaN,2.071217967E0,4.836740971E0,3.253105402E0,2.600000000E1
