"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.281318500E-2,4.560719967E0,5.522634506E0,6.733402729E0
2.493230000E-2,4.541577339E0,5.498706341E0,6.733402729E0
2.705110200E-2,4.522434711E0,5.508277893E0,6.738188744E0
2.916995600E-2,4.484149456E0,5.517848969E0,6.771687984E0
3.128881000E-2,4.460221291E0,5.546562672E0,6.805187702E0
3.340761200E-2,4.421936035E0,5.556134224E0,6.848258495E0
3.552646700E-2,4.383651257E0,5.560919762E0,6.872186661E0
3.764532100E-2,4.350151539E0,5.565705299E0,6.924828529E0
3.976417500E-2,4.311866283E0,5.560919762E0,6.958328247E0
4.188297700E-2,4.268795490E0,5.570491314E0,7.010970116E0
4.400183100E-2,4.249652863E0,5.575276852E0,7.049255371E0
4.612068500E-2,4.244867325E0,5.556134224E0,7.077969551E0
4.823954000E-2,4.211368084E0,5.527420521E0,7.149754047E0
5.035834200E-2,4.197010994E0,5.522634506E0,7.183253765E0
5.247719600E-2,4.187439442E0,5.522634506E0,7.211967468E0
5.459605000E-2,4.173082829E0,5.498706341E0,7.245467186E0
5.671490400E-2,4.168296814E0,5.484349728E0,7.274180889E0
5.883370600E-2,4.158725739E0,5.479563713E0,7.298109055E0
6.095256000E-2,4.153940201E0,5.489135265E0,7.312466145E0
6.307141500E-2,4.153940201E0,5.450850010E0,7.336394310E0
6.519026900E-2,4.153940201E0,5.460421085E0,7.374679565E0
6.730907100E-2,4.139583111E0,5.455635548E0,7.389036179E0
6.942787300E-2,4.125226021E0,5.469992638E0,7.408178806E0
7.154677900E-2,4.115654945E0,5.465207100E0,7.412964344E0
7.366563300E-2,4.082155228E0,5.474778175E0,7.417750359E0
7.578443500E-2,4.096512318E0,5.455635548E0,7.436892986E0
7.790329000E-2,4.077369690E0,5.479563713E0,7.432106972E0
8.002214400E-2,4.048655987E0,5.455635548E0,7.427321434E0
8.214099800E-2,4.029513359E0,5.465207100E0,7.403393269E0
8.425980000E-2,4.024727821E0,5.469992638E0,7.384250641E0
8.637865400E-2,3.996013880E0,5.460421085E0,7.374679565E0
8.849750800E-2,3.962514400E0,5.455635548E0,7.345965385E0
9.061636200E-2,3.943371773E0,5.446064472E0,7.336394310E0
9.273516500E-2,3.900300980E0,5.450850010E0,7.312466145E0
9.485396700E-2,3.866801500E0,5.446064472E0,7.302894592E0
9.697287300E-2,3.833301783E0,5.426921844E0,7.274180889E0
9.909167500E-2,3.809373617E0,5.422136307E0,7.255038261E0
1.012105290E-1,3.756731510E0,5.407779217E0,7.250252724E0
1.033293830E-1,3.718446493E0,5.402993679E0,7.221538544E0
1.054482370E-1,3.656233072E0,5.374279499E0,7.211967468E0
1.075670920E-1,3.608376503E0,5.374279499E0,7.235895634E0
1.096858940E-1,3.589233875E0,5.340780258E0,7.240681171E0
1.118047480E-1,3.522234917E0,5.316852093E0,7.365108013E0
1.139236020E-1,3.536591768E0,5.254638672E0,7.829315662E0
1.160424560E-1,3.550948858E0,5.230710506E0,7.848458290E0
1.181612580E-1,3.579662561E0,5.201996326E0,7.819744587E0
1.202801120E-1,3.584448338E0,5.168497086E0,7.795815945E0
1.223989670E-1,3.589233875E0,5.168497086E0,7.767102242E0
1.245177690E-1,3.565305710E0,5.158925533E0,7.700103283E0
1.266366230E-1,3.560520172E0,5.154139996E0,7.657032490E0
1.287554770E-1,3.546163082E0,5.154139996E0,7.599604607E0
1.308743310E-1,3.517449379E0,5.168497086E0,7.546962738E0
1.329931850E-1,3.483949661E0,5.168497086E0,7.499105930E0
1.351119350E-1,3.455235958E0,5.173282623E0,7.432106972E0
1.372308420E-1,3.426522017E0,5.221138954E0,7.365108013E0
1.393496960E-1,3.383451223E0,5.235496044E0,7.312466145E0
1.414685500E-1,3.378665686E0,5.249852657E0,7.264609337E0
1.435873520E-1,3.345165968E0,5.268995285E0,7.231110096E0
1.457062060E-1,3.297309637E0,5.288137913E0,7.207181931E0
1.478250600E-1,3.278167009E0,5.307280540E0,7.154539585E0
1.499439150E-1,3.259024382E0,5.335994720E0,7.116254330E0
1.520627170E-1,3.254238844E0,5.350351334E0,7.077969551E0
1.541815710E-1,3.220739365E0,5.359922886E0,7.049255371E0
1.563004250E-1,3.201596737E0,5.355136871E0,7.034898758E0
1.584192270E-1,3.177668571E0,5.379065514E0,7.010970116E0
1.605380810E-1,3.158525944E0,5.383851051E0,6.996613503E0
1.626569350E-1,3.134597778E0,5.402993679E0,6.982256413E0
1.647757900E-1,3.101098061E0,5.388636589E0,6.996613503E0
1.668946440E-1,3.096312523E0,5.393422127E0,6.996613503E0
1.690134460E-1,3.081955671E0,5.407779217E0,6.991827965E0
1.711323000E-1,3.053241730E0,5.402993679E0,7.006184578E0
1.732511540E-1,3.053241730E0,5.402993679E0,7.044469833E0
1.753700080E-1,3.034099102E0,5.407779217E0,7.063612461E0
1.774888100E-1,3.024527788E0,5.393422127E0,7.082755089E0
1.796076650E-1,3.005385160E0,5.398207664E0,7.121040344E0
1.817265710E-1,2.981456995E0,5.412564754E0,7.159325123E0
1.838453730E-1,2.976671457E0,5.393422127E0,7.192824841E0
1.859641750E-1,2.967100143E0,5.398207664E0,7.235895634E0
1.880830290E-1,2.981456995E0,5.379065514E0,7.269395351E0
1.902018830E-1,2.986242771E0,5.388636589E0,7.302894592E0
1.923207370E-1,2.981456995E0,5.364708424E0,7.317251682E0
1.944395400E-1,2.967100143E0,5.364708424E0,7.350750923E0
1.965583940E-1,2.986242771E0,5.355136871E0,7.384250641E0
1.986772480E-1,2.981456995E0,5.355136871E0,7.403393269E0
2.007961020E-1,2.986242771E0,5.350351334E0,7.436892986E0
2.029149040E-1,2.976671457E0,5.345565796E0,7.475177765E0
2.050337580E-1,2.976671457E0,5.355136871E0,7.499105930E0
2.071526120E-1,2.976671457E0,5.359922886E0,7.513463020E0
2.092714150E-1,2.967100143E0,5.374279499E0,7.532605648E0
2.113902690E-1,2.967100143E0,5.350351334E0,7.537391186E0
2.135091230E-1,2.957528830E0,5.364708424E0,7.551748276E0
2.156279770E-1,2.943171740E0,5.340780258E0,7.556533813E0
2.177468310E-1,2.928814888E0,5.345565796E0,7.556533813E0
2.198656330E-1,2.928814888E0,5.350351334E0,7.570890903E0
2.219844870E-1,2.909672260E0,5.355136871E0,7.594819069E0
2.241033420E-1,2.895315409E0,5.350351334E0,7.585247993E0
2.262221960E-1,2.880958557E0,5.359922886E0,7.585247993E0
2.283409980E-1,2.876172781E0,5.345565796E0,7.566105366E0
2.304598520E-1,2.852244616E0,5.335994720E0,7.575676441E0
2.325787060E-1,2.871387243E0,5.345565796E0,7.551748276E0
2.346975600E-1,2.861815929E0,5.335994720E0,7.551748276E0
2.368163620E-1,2.847458839E0,5.335994720E0,7.546962738E0
2.389352170E-1,2.857030153E0,5.331208706E0,7.537391186E0
2.410540710E-1,2.857030153E0,5.326423168E0,7.518248558E0
2.431728730E-1,2.837887764E0,5.321637630E0,7.527820110E0
2.452917270E-1,2.857030153E0,5.297709465E0,7.537391186E0
2.474105810E-1,2.852244616E0,5.288137913E0,7.503891945E0
2.495294350E-1,2.847458839E0,5.288137913E0,7.508677483E0
2.516482900E-1,2.852244616E0,5.288137913E0,7.484749317E0
2.537670920E-1,2.871387243E0,5.273781300E0,7.470392227E0
2.558859460E-1,2.857030153E0,5.292923450E0,7.460821152E0
2.580048000E-1,2.847458839E0,5.302495003E0,7.446464062E0
2.601236540E-1,2.847458839E0,5.302495003E0,7.436892986E0
2.622424560E-1,2.852244616E0,5.312066078E0,7.451249599E0
2.643613100E-1,2.828316450E0,5.321637630E0,7.451249599E0
2.664801650E-1,2.799602509E0,5.335994720E0,7.451249599E0
2.685990190E-1,2.766103029E0,5.345565796E0,7.456035137E0
2.707178210E-1,2.670390129E0,5.350351334E0,7.456035137E0
2.728366750E-1,2.627319336E0,5.359922886E0,7.456035137E0
2.749555290E-1,2.565105915E0,5.359922886E0,7.441678524E0
2.770743830E-1,2.560320139E0,5.355136871E0,7.465606689E0
2.791931850E-1,2.507678032E0,5.345565796E0,7.451249599E0
2.813120400E-1,2.464607239E0,5.340780258E0,7.489534855E0
2.834308940E-1,2.464607239E0,5.316852093E0,7.475177765E0
2.855497480E-1,2.421536446E0,5.316852093E0,7.494320393E0
2.876685500E-1,2.392822742E0,5.312066078E0,7.503891945E0
2.897874040E-1,2.368894339E0,5.312066078E0,7.499105930E0
2.919062580E-1,2.359323025E0,5.297709465E0,7.518248558E0
2.940251120E-1,2.340180635E0,5.283352375E0,7.527820110E0
2.961439150E-1,2.354537487E0,5.278566837E0,7.546962738E0
2.982627690E-1,2.344966173E0,5.264209747E0,7.542177200E0
3.003816230E-1,2.340180635E0,5.268995285E0,7.590033531E0
3.025004770E-1,2.335394859E0,5.259424210E0,7.590033531E0
3.046192790E-1,2.349751949E0,5.254638672E0,7.609176159E0
3.067381330E-1,2.335394859E0,5.240281582E0,7.637889862E0
3.088569870E-1,2.340180635E0,5.240281582E0,7.652246952E0
3.109758420E-1,2.330609322E0,5.225924492E0,7.652246952E0
3.130946960E-1,2.335394859E0,5.225924492E0,7.690532207E0
3.152134980E-1,2.335394859E0,5.240281582E0,7.714460373E0
3.173323520E-1,2.321038008E0,5.221138954E0,7.728816986E0
3.194512060E-1,2.325823545E0,5.216353416E0,7.747959614E0
3.215700080E-1,2.282752752E0,5.206781864E0,7.762316704E0
3.236888620E-1,2.292324066E0,5.206781864E0,7.786244869E0
3.258077170E-1,2.277967215E0,5.221138954E0,7.800601959E0
3.279265710E-1,2.277967215E0,5.211567879E0,7.824530125E0
3.300454250E-1,2.311466694E0,5.216353416E0,7.834101200E0
3.321642270E-1,2.301895380E0,5.221138954E0,7.872386456E0
3.342830810E-1,2.311466694E0,5.225924492E0,7.896314621E0
3.364019350E-1,2.287538528E0,5.225924492E0,7.939385414E0
3.385207900E-1,2.268395901E0,5.221138954E0,7.977670670E0
3.406395920E-1,2.254039049E0,5.240281582E0,7.996813297E0
3.427584460E-1,2.234896421E0,5.230710506E0,8.015955925E0
3.448773000E-1,2.263610125E0,5.240281582E0,8.020741463E0
3.469961540E-1,2.225325108E0,5.235496044E0,8.035098076E0
3.491149560E-1,2.215753794E0,5.240281582E0,8.054241180E0
3.512338100E-1,2.239681959E0,5.221138954E0,8.063812256E0
3.533526650E-1,2.249253273E0,5.249852657E0,8.063812256E0
3.554714670E-1,2.234896421E0,5.230710506E0,8.073383331E0
3.575903210E-1,2.215753794E0,5.230710506E0,8.059026718E0
3.597091750E-1,2.254039049E0,5.230710506E0,8.044670105E0
3.618280290E-1,2.263610125E0,5.245067120E0,8.035098076E0
3.639468830E-1,2.215753794E0,5.259424210E0,8.015955925E0
3.660656850E-1,2.230110645E0,5.249852657E0,8.006384850E0
3.681845400E-1,2.234896421E0,5.254638672E0,8.015955925E0
3.703033940E-1,2.124826431E0,5.249852657E0,7.982456207E0
3.724222480E-1,2.143969059E0,5.264209747E0,8.015955925E0
3.745410500E-1,2.086541414E0,5.254638672E0,7.977670670E0
3.766599040E-1,2.048256159E0,5.240281582E0,7.934599876E0
3.787787580E-1,2.072184324E0,5.221138954E0,7.939385414E0
3.808976120E-1,2.053041935E0,5.221138954E0,7.925028801E0
3.830164150E-1,1.971685886E0,5.187639713E0,7.886743546E0
3.851352690E-1,1.957328916E0,5.178068161E0,7.886743546E0
3.872541230E-1,2.019542217E0,5.158925533E0,7.886743546E0
3.893729770E-1,1.971685886E0,5.130211830E0,7.901100159E0
