"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
9.829276900E-2,3.916839123E0,5.405890942E0,7.183669090E0
1.032927690E-1,3.884549141E0,5.408952236E0,7.198882103E0
1.082927690E-1,3.849194050E0,5.412518978E0,7.215173244E0
1.132927690E-1,3.810144186E0,5.412364006E0,7.235985756E0
1.182927690E-1,3.765954733E0,5.398322582E0,7.269530773E0
1.232927690E-1,3.727218628E0,5.385135651E0,7.299215317E0
1.282927690E-1,3.691607952E0,5.375920773E0,7.324062824E0
1.332927690E-1,3.657843113E0,5.371029377E0,7.344563961E0
1.382927690E-1,3.624572515E0,5.371016979E0,7.361049175E0
1.432927690E-1,3.591416121E0,5.375468731E0,7.374039173E0
1.482927690E-1,3.557791948E0,5.382557869E0,7.385159492E0
1.532927690E-1,3.524585009E0,5.391924381E0,7.394243240E0
1.582927690E-1,3.491570473E0,5.401830673E0,7.402672291E0
1.632927690E-1,3.458496332E0,5.411741257E0,7.410954475E0
1.682927690E-1,3.425316811E0,5.420363426E0,7.420057774E0
1.732927690E-1,3.392543316E0,5.427660942E0,7.429773331E0
1.782927690E-1,3.360064030E0,5.432769775E0,7.440791130E0
1.832927690E-1,3.327230692E0,5.436004162E0,7.453172207E0
1.882927690E-1,3.294645786E0,5.437073708E0,7.466855526E0
1.932927690E-1,3.263168097E0,5.436405182E0,7.481151104E0
1.982927690E-1,3.232265472E0,5.434453964E0,7.495968819E0
2.032927690E-1,3.202186823E0,5.431566715E0,7.510957241E0
2.082927690E-1,3.172518730E0,5.428319454E0,7.525878906E0
2.132927690E-1,3.143257141E0,5.425245762E0,7.540359974E0
2.182927690E-1,3.114223003E0,5.422276020E0,7.554529667E0
2.232927690E-1,3.085391045E0,5.419661522E0,7.568224907E0
2.282927690E-1,3.056685686E0,5.417635918E0,7.581311703E0
2.332927690E-1,3.028660536E0,5.416064739E0,7.593671322E0
2.382927690E-1,3.001628399E0,5.414816380E0,7.605286121E0
2.432927690E-1,2.975637913E0,5.413744926E0,7.616254330E0
2.482927690E-1,2.950489759E0,5.412320614E0,7.627043724E0
2.532927690E-1,2.926179886E0,5.411011219E0,7.637330532E0
2.582927690E-1,2.902640104E0,5.409941196E0,7.647065163E0
2.632927690E-1,2.879275799E0,5.409109592E0,7.656481266E0
2.682927690E-1,2.855255365E0,5.408380508E0,7.665985107E0
2.732927690E-1,2.829290628E0,5.407834053E0,7.675990582E0
2.782927690E-1,2.801827669E0,5.407226086E0,7.686484814E0
2.832927690E-1,2.773544312E0,5.405927181E0,7.697648048E0
2.882927690E-1,2.745015383E0,5.403714180E0,7.709420204E0
2.932927690E-1,2.716395617E0,5.400907993E0,7.721514702E0
2.982927690E-1,2.688454628E0,5.397089005E0,7.733952999E0
3.032927690E-1,2.661183596E0,5.392391205E0,7.746652126E0
3.082927690E-1,2.634628534E0,5.386776447E0,7.759623051E0
3.132927690E-1,2.608395576E0,5.380503178E0,7.772827148E0
3.182927690E-1,2.582162857E0,5.373672009E0,7.786300182E0
3.232927690E-1,2.555664062E0,5.366299629E0,7.800115108E0
3.282927690E-1,2.528934002E0,5.358613014E0,7.814099789E0
3.332927690E-1,2.502800941E0,5.350493431E0,7.828064919E0
3.382927690E-1,2.476722479E0,5.341947079E0,7.842182636E0
3.432927690E-1,2.450101137E0,5.333190918E0,7.856492043E0
3.482927690E-1,2.423249245E0,5.324601173E0,7.870634079E0
3.532927690E-1,2.395889521E0,5.316175938E0,7.884692669E0
3.582927690E-1,2.368088961E0,5.308108330E0,7.898514271E0
3.632927690E-1,2.340320587E0,5.300547123E0,7.911858082E0
3.682927690E-1,2.311876059E0,5.293656349E0,7.924823761E0
3.732927690E-1,2.282197714E0,5.287121296E0,7.937777042E0
3.782927690E-1,2.251141787E0,5.280836582E0,7.950818062E0
3.832927690E-1,2.219459534E0,5.274376392E0,7.964003563E0
3.882927690E-1,2.186962366E0,5.267576694E0,7.977481842E0
3.932927690E-1,2.153578043E0,5.259925365E0,7.991600990E0
3.982927690E-1,2.119706392E0,5.251672745E0,8.006071091E0
4.032927690E-1,2.086689472E0,5.242664337E0,8.020635605E0
4.082927690E-1,2.052539587E0,5.232892036E0,8.035814285E0
4.132927690E-1,2.018766880E0,5.222470284E0,8.051135063E0
4.182927690E-1,1.985849380E0,5.211462498E0,8.066439629E0
4.232927690E-1,1.953143239E0,5.199883461E0,8.081881523E0
4.282927690E-1,1.918652058E0,5.187643528E0,8.097994804E0
4.332927690E-1,1.884047270E0,5.175109863E0,8.114123344E0
4.382927690E-1,1.849996567E0,5.162019253E0,8.130280495E0
4.432927690E-1,1.816442966E0,5.148082733E0,8.146667480E0
4.482927690E-1,1.783439279E0,5.133735180E0,8.162994385E0
4.532927690E-1,1.750795245E0,5.119204044E0,8.179172516E0
4.582927690E-1,1.718517184E0,5.105032444E0,8.194859505E0
4.632927690E-1,1.686752915E0,5.091613293E0,8.209794998E0
4.682927690E-1,1.656087279E0,5.079017639E0,8.223828316E0
