"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.239620600E-2,1.145371422E-2,2.301433086E-1,-2.342666388E-1
2.451532100E-2,1.145371422E-2,2.301433086E-1,-2.342666388E-1
2.663412300E-2,1.145371422E-2,2.301433086E-1,-2.342666388E-1
2.875297700E-2,1.145371422E-2,2.301433086E-1,-2.342666388E-1
3.087183100E-2,-1.094975099E-1,3.474293351E-1,-2.843575478E-1
3.299063300E-2,-1.229365394E-1,3.559814394E-1,-2.892444730E-1
3.510948700E-2,-1.339320987E-1,3.706422150E-1,-2.916879356E-1
3.722834200E-2,-1.461493969E-1,3.840812445E-1,-2.941313982E-1
3.934719600E-2,-1.547015011E-1,3.926333487E-1,-2.965748608E-1
4.146599800E-2,-1.620318890E-1,4.072940946E-1,-2.977965772E-1
4.358485200E-2,-1.693622619E-1,4.170679152E-1,-2.990183234E-1
4.570370600E-2,-1.766926348E-1,4.280634820E-1,-2.977965772E-1
4.782256000E-2,-1.828012913E-1,4.353938699E-1,-3.002400398E-1
4.994136200E-2,-1.864664704E-1,4.463894367E-1,-2.990183234E-1
5.206021700E-2,-1.876882017E-1,4.537198246E-1,-3.002400398E-1
5.417907100E-2,-1.913533956E-1,4.598284662E-1,-2.977965772E-1
5.629792500E-2,-1.913533956E-1,4.647153914E-1,-2.990183234E-1
5.841672700E-2,-1.925751269E-1,4.708240330E-1,-2.990183234E-1
6.053558100E-2,-1.901316643E-1,4.708240330E-1,-3.002400398E-1
6.265443500E-2,-1.913533956E-1,4.708240330E-1,-3.026835024E-1
6.477329000E-2,-1.889099330E-1,4.708240330E-1,-3.026835024E-1
6.689209200E-2,-1.852447391E-1,4.732674956E-1,-3.039052188E-1
6.901089400E-2,-1.815795600E-1,4.720457494E-1,-3.063486814E-1
7.112980000E-2,-1.742491722E-1,4.683805704E-1,-3.087921441E-1
7.324865400E-2,-1.705839932E-1,4.671588540E-1,-3.112356067E-1
7.536745600E-2,-1.632536054E-1,4.634936452E-1,-3.136790693E-1
7.748631000E-2,-1.571449637E-1,4.598284662E-1,-3.161225319E-1
7.960516500E-2,-1.498145908E-1,4.573850036E-1,-3.197877109E-1
8.172401900E-2,-1.437059343E-1,4.524980783E-1,-3.234528899E-1
8.384282100E-2,-1.424842030E-1,4.500546157E-1,-3.283398151E-1
8.596167500E-2,-1.363755614E-1,4.427242577E-1,-3.320049942E-1
8.808052900E-2,-1.314886510E-1,4.390590489E-1,-3.368919194E-1
9.019938300E-2,-1.290451884E-1,4.305069447E-1,-3.405571282E-1
9.231818500E-2,-1.266017258E-1,4.243983030E-1,-3.430005610E-1
9.443698700E-2,-1.229365394E-1,4.207331240E-1,-3.466657698E-1
9.655589400E-2,-1.241582632E-1,4.170679152E-1,-3.491092324E-1
9.867469600E-2,-1.217148080E-1,4.158461988E-1,-3.503309488E-1
1.007935500E-1,-1.217148080E-1,4.134027362E-1,-3.527744114E-1
1.029124040E-1,-1.241582632E-1,4.146244824E-1,-3.527744114E-1
1.050312580E-1,-1.204930767E-1,4.195113778E-1,-3.515526950E-1
1.071501120E-1,-1.217148080E-1,4.207331240E-1,-3.515526950E-1
1.092689150E-1,-1.204930767E-1,4.231765866E-1,-3.503309488E-1
1.113877690E-1,-1.204930767E-1,4.305069447E-1,-3.466657698E-1
1.135066230E-1,-1.143844277E-1,4.463894367E-1,-3.430005610E-1
1.156254770E-1,-1.009454057E-1,4.586067200E-1,-3.405571282E-1
1.177442790E-1,-8.506292105E-2,4.732674956E-1,-3.393353820E-1
1.198631330E-1,-7.528908551E-2,4.818195999E-1,-3.381136656E-1
1.219819870E-1,-6.429351866E-2,4.879282415E-1,-3.381136656E-1
1.241007900E-1,-5.696314201E-2,4.915934205E-1,-3.381136656E-1
1.262196440E-1,-4.718930274E-2,4.928151667E-1,-3.393353820E-1
1.283384980E-1,-4.352411628E-2,4.915934205E-1,-3.405571282E-1
1.304573520E-1,-3.741546720E-2,4.879282415E-1,-3.405571282E-1
1.325762060E-1,-3.619373962E-2,4.867065251E-1,-3.417788446E-1
1.346949560E-1,-3.497200832E-2,4.867065251E-1,-3.442223072E-1
1.368138620E-1,-3.252854943E-2,4.830413163E-1,-3.442223072E-1
1.389327170E-1,-3.375028074E-2,4.867065251E-1,-3.442223072E-1
1.410515710E-1,-3.375028074E-2,4.854847789E-1,-3.442223072E-1
1.431703730E-1,-3.497200832E-2,4.830413163E-1,-3.454440236E-1
1.452892270E-1,-4.108065739E-2,4.854847789E-1,-3.442223072E-1
1.474080810E-1,-4.474584386E-2,4.830413163E-1,-3.454440236E-1
1.495269350E-1,-5.329795182E-2,4.854847789E-1,-3.466657698E-1
1.516457370E-1,-6.062832847E-2,4.879282415E-1,-3.466657698E-1
1.537645920E-1,-6.795870513E-2,4.879282415E-1,-3.466657698E-1
1.558834460E-1,-8.017600328E-2,4.854847789E-1,-3.466657698E-1
1.580022480E-1,-8.750637621E-2,4.867065251E-1,-3.466657698E-1
1.601211020E-1,-9.850194305E-2,4.854847789E-1,-3.454440236E-1
1.622399560E-1,-1.119409725E-1,4.879282415E-1,-3.442223072E-1
1.643588100E-1,-1.241582632E-1,4.867065251E-1,-3.417788446E-1
