"Time (s)","Illuminance (lx)"
0.000000000E0,7.398000336E1
9.027454000E-2,8.903250122E1
2.502853730E-1,1.379700012E2
4.102797480E-1,1.570050049E2
5.702846440E-1,1.719900055E2
7.302792270E-1,1.750275116E2
8.902853730E-1,1.690200043E2
1.050279071E0,1.680075073E2
1.210284383E0,1.659825134E2
1.370272612E0,1.690200043E2
1.530276571E0,1.659825134E2
1.690271675E0,1.590299988E2
1.850285685E0,1.549800110E2
2.010276987E0,1.499850006E2
2.170286102E0,1.530225067E2
2.330274331E0,1.599750061E2
2.490293862E0,1.649700012E2
2.810286675E0,1.709775085E2
2.970275321E0,1.680075073E2
3.130277925E0,1.779975128E2
3.290274748E0,1.790100098E2
3.450277665E0,1.759725037E2
3.610269852E0,1.769850006E2
3.930275269E0,1.750275116E2
4.090278185E0,1.740149994E2
4.250271987E0,1.669950104E2
4.410276362E0,1.480275116E2
4.730280269E0,1.520100098E2
4.890280425E0,1.599750061E2
5.050278185E0,1.649700012E2
5.210272248E0,1.730025024E2
5.370278706E0,1.750275116E2
5.530283654E0,1.719900055E2
5.690278446E0,1.680075073E2
5.850283915E0,1.750275116E2
6.010278967E0,1.779975128E2
6.170282300E0,1.800225067E2
6.330278706E0,1.740149994E2
6.490283394E0,1.910250092E2
6.650277925E0,2.060100098E2
6.810284019E0,2.010150146E2
6.970277404E0,2.029725037E2
7.130271727E0,2.039850006E2
7.290275790E0,2.079675140E2
7.450283550E0,2.070225067E2
7.610273029E0,2.049975128E2
7.770283862E0,2.020275116E2
7.930270581E0,1.979775085E2
8.090281519E0,1.869750061E2
8.250271310E0,1.989900055E2
8.410283237E0,1.890000000E2
8.570276206E0,1.860300140E2
8.730284696E0,2.070225067E2
8.890276519E0,5.410125122E2
9.050282717E0,4.839750061E2
9.210270946E0,8.599500275E1
9.370277665E0,6.297750092E1
9.530272665E0,2.200500107E1
9.690277665E0,1.397250080E1
1.401027105E1,1.397250080E1
1.833027188E1,1.397250080E1
2.265027037E1,1.397250080E1
2.697027293E1,1.397250080E1
3.129027897E1,1.397250080E1
3.561028001E1,1.397250080E1
3.993028337E1,1.397250080E1
4.425027124E1,1.397250080E1
4.857027269E1,1.397250080E1
5.289027150E1,1.397250080E1
5.721027795E1,1.397250080E1
6.153028103E1,1.397250080E1
6.585026827E1,1.397250080E1
7.017027066E1,1.397250080E1
7.449026936E1,1.397250080E1
7.881027769E1,1.397250080E1
8.313027905E1,1.397250080E1
8.745028311E1,1.397250080E1
9.177026936E1,1.397250080E1
9.609027134E1,1.397250080E1
1.004102788E2,1.397250080E1
1.047302843E2,1.397250080E1
1.090502792E2,1.397250080E1
1.100102785E2,9.801000214E1
1.101702691E2,2.569725037E2
1.103302800E2,2.749950256E2
1.104902699E2,2.309850159E2
1.106502813E2,2.120175018E2
1.108102677E2,1.900125122E2
1.109702831E2,1.850175018E2
1.111302761E2,1.840050049E2
1.112902812E2,1.790100098E2
1.114502785E2,1.769850006E2
1.116102828E2,1.740149994E2
1.117702753E2,1.790100098E2
1.120902699E2,1.809675140E2
1.122502793E2,1.790100098E2
1.124102852E2,1.759725037E2
1.125702756E2,1.779975128E2
1.127302703E2,1.769850006E2
1.128902788E2,1.759725037E2
1.130502702E2,1.779975128E2
1.132102806E2,1.769850006E2
1.133702733E2,1.840050049E2
1.135302772E2,1.850175018E2
1.136902730E2,1.869750061E2
1.140102729E2,1.850175018E2
1.141702769E2,1.860300140E2
1.143302785E2,1.910250092E2
1.144902764E2,1.900125122E2
1.146502796E2,1.879875031E2
1.148102738E2,1.910250092E2
1.149702719E2,1.960200043E2
1.151302808E2,3.429674988E2
1.152902732E2,4.810050049E2
1.154502795E2,1.640250092E2
1.156102818E2,8.498250580E1
1.157702790E2,6.297750092E1
1.159302810E2,2.997000122E1
1.160902759E2,1.599750042E1
1.162502730E2,1.498500061E1
1.164102782E2,1.397250080E1
1.173702762E2,6.297750092E1
1.175302800E2,2.500200043E2
1.176902711E2,2.830274963E2
1.178502805E2,2.490075073E2
1.180102682E2,2.330100098E2
1.181702789E2,2.070225067E2
1.183302729E2,1.890000000E2
1.184902833E2,1.719900055E2
1.186502771E2,1.530225067E2
1.188102813E2,1.339875031E2
1.189702740E2,1.320299988E2
1.191302814E2,1.279800034E2
1.192902786E2,1.239975052E2
