"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.329276900E-2,0.000000000E0,0.000000000E0,0.000000000E0
3.829276900E-2,-3.066349030E-2,1.181316376E-2,3.680658340E-2
4.329276900E-2,-6.471490860E-2,1.042509079E-2,8.123922348E-2
4.829276900E-2,-7.012701035E-2,8.492469788E-4,1.238861084E-1
5.329276900E-2,-7.142925262E-2,-2.594661713E-2,1.712975502E-1
5.829276900E-2,-6.041622162E-2,-4.806947708E-2,1.908702850E-1
6.329276900E-2,-4.284143448E-2,-5.406332016E-2,1.956586838E-1
6.829276900E-2,-2.226305008E-2,-6.404399872E-2,2.117466927E-1
7.329276900E-2,-2.520513535E-2,-4.685878754E-2,2.075848579E-1
7.829276900E-2,-2.658462524E-2,-4.328632355E-2,1.912117004E-1
8.329276900E-2,-4.102420807E-2,-4.571485519E-2,1.496958733E-1
8.829276900E-2,-5.080747604E-2,-4.296112061E-2,8.712148666E-2
9.329276900E-2,-8.804035187E-2,-5.454206467E-2,2.914571762E-2
9.829276900E-2,-1.344685555E-1,-6.538724899E-2,-2.266216278E-2
1.032927690E-1,-1.789529324E-1,-8.604383469E-2,-7.160949707E-2
1.082927690E-1,-2.552399635E-1,-1.130490303E-1,-1.000618935E-1
1.132927690E-1,-3.048162460E-1,-1.595788002E-1,-5.668640137E-3
1.182927690E-1,-2.669434547E-1,-2.428054810E-1,4.618420601E-1
1.232927690E-1,-1.957724094E-1,-2.890605927E-1,3.827567101E-1
1.282927690E-1,-1.827676296E-1,-2.961144447E-1,2.442545891E-1
1.332927690E-1,-1.900959015E-1,-2.797098160E-1,1.063776016E-1
1.382927690E-1,-2.232601643E-1,-2.428078651E-1,-4.124498367E-2
1.432927690E-1,-2.539892197E-1,-1.877303123E-1,-1.720376015E-1
1.482927690E-1,-2.859783173E-1,-1.429538727E-1,-2.556753159E-1
1.532927690E-1,-2.921566963E-1,-9.137010574E-2,-3.479518890E-1
1.582927690E-1,-3.055415154E-1,-7.040023804E-2,-4.069628716E-1
1.632927690E-1,-3.167252541E-1,-4.217481613E-2,-4.433984756E-1
1.682927690E-1,-3.318340778E-1,-3.842830658E-2,-4.386172295E-1
1.732927690E-1,-3.294959068E-1,-2.441501617E-2,-4.228610992E-1
1.782927690E-1,-3.222172260E-1,-2.546596527E-2,-3.649678230E-1
