"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
4.766021700E-2,2.135625076E1,2.231250048E0,2.446875191E1
5.766021700E-2,2.411250114E1,-7.312500477E-1,1.951875114E1
6.766021700E-2,2.707500076E1,-5.268750191E0,1.500000095E1
7.766021700E-2,2.671875191E1,-6.150000095E0,1.241250038E1
8.766021700E-2,2.506875038E1,-3.150000095E0,1.563750076E1
9.766021700E-2,2.146875000E1,5.250000358E-1,1.976250076E1
1.076602170E-1,2.064375114E1,-2.437500060E-1,2.250000000E1
1.176602170E-1,2.199375153E1,-2.568750143E0,2.062500000E1
1.276602170E-1,2.488125038E1,-6.262500286E0,1.168125057E1
1.376602170E-1,2.525625038E1,-8.512500763E0,9.356250763E0
1.476602170E-1,2.355000114E1,-3.825000048E0,1.134375000E1
1.576602170E-1,1.809375000E1,-1.912500024E0,1.891875076E1
1.676602170E-1,1.890000153E1,1.500000060E-1,2.326875114E1
1.776602170E-1,2.049375153E1,-2.381250143E0,1.908750153E1
1.876602170E-1,2.439375114E1,-6.731250286E0,1.344375038E1
1.976602170E-1,2.336250114E1,-9.112500191E0,9.431250572E0
2.076602170E-1,2.178750038E1,-5.325000286E0,1.243125057E1
2.176602170E-1,1.792500114E1,-1.143750072E0,1.807500076E1
2.276602170E-1,1.811250114E1,-1.125000045E-1,2.079375076E1
2.376602170E-1,2.019375038E1,-2.868750095E0,1.927500153E1
2.476602170E-1,2.223750114E1,-6.862500191E0,1.348125076E1
2.576602170E-1,2.527500153E1,-8.100000381E0,7.143750191E0
2.676602170E-1,2.070000076E1,-6.712500095E0,1.051875019E1
2.776602170E-1,1.811250114E1,-9.562500119E-1,1.899375153E1
2.876602170E-1,1.665000153E1,-7.125000358E-1,1.946250153E1
2.976602170E-1,1.841250038E1,-2.868750095E0,1.773750114E1
3.076602170E-1,2.197500038E1,-7.218750477E0,1.258125019E1
3.176602170E-1,2.362500000E1,-7.725000381E0,6.825000286E0
3.276602170E-1,2.075625038E1,-5.625000000E0,9.656250000E0
3.376602170E-1,1.745625114E1,-1.818750024E0,1.768125153E1
3.476602170E-1,1.333125019E1,-1.650000095E0,2.178750038E1
3.576602170E-1,1.901250076E1,-4.537500381E0,1.880625153E1
3.676602170E-1,2.139375114E1,-7.256250381E0,1.181250000E1
3.776602170E-1,2.253750038E1,-8.587500572E0,7.218750477E0
3.876602170E-1,2.100000000E1,-4.650000095E0,9.731250763E0
3.976602170E-1,1.398750019E1,-3.018750191E0,1.610625076E1
4.076602170E-1,1.636875153E1,-9.000000358E-1,1.918125153E1
4.176602170E-1,1.756875038E1,-6.675000191E0,1.948125076E1
4.276602170E-1,2.115000153E1,-8.850000381E0,1.258125019E1
4.376602170E-1,2.236875153E1,-6.975000381E0,8.643750191E0
4.476602170E-1,1.841250038E1,-3.543750048E0,9.825000763E0
4.576602170E-1,1.561875057E1,-1.950000048E0,1.693125153E1
4.676602170E-1,1.670625114E1,-3.562500238E0,1.938750076E1
4.776602170E-1,2.026875114E1,-8.325000763E0,1.614375114E1
4.876602170E-1,2.420625114E1,-7.687500477E0,7.593750477E0
4.976602170E-1,2.019375038E1,-6.187500477E0,7.368750095E0
