"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
8.829276900E-2,3.865417165E-1,3.215817809E-1,1.788156331E-1,8.456923962E-1,1.345210294E2,3.707753338E1,-2.393369194E1,1.227412230E2
9.329276900E-2,3.875877405E-1,3.200966716E-1,1.790864617E-1,8.457197547E-1,1.343910308E2,3.701239710E1,-2.374086323E1,1.227078008E2
9.829276900E-2,3.886318037E-1,3.186180890E-1,1.794918478E-1,8.457130194E-1,1.342612140E2,3.696237576E1,-2.354107811E1,1.226715906E2
1.032927690E-1,3.896795409E-1,3.171250522E-1,1.799746305E-1,8.456894755E-1,1.341308781E2,3.691973483E1,-2.333545550E1,1.226343011E2
1.082927690E-1,3.356851625E-1,3.032524586E-1,2.004157901E-1,8.690149188E-1,1.407715846E2,3.687568553E1,-2.311068259E1,1.299596773E2
1.132927690E-1,3.373134978E-1,3.014005423E-1,2.005619407E-1,8.689949512E-1,1.405734358E2,3.679571030E1,-2.286285115E1,1.298755981E2
1.182927690E-1,3.267453478E-1,2.960457802E-1,2.042399943E-1,8.740025163E-1,1.418573001E2,3.659742191E1,-2.258294998E1,1.314482702E2
1.232927690E-1,3.288054832E-1,2.939698100E-1,2.035321742E-1,8.740957379E-1,1.416074216E2,3.641875939E1,-2.233805128E1,1.313382622E2
1.282927690E-1,3.304949803E-1,2.920985520E-1,2.031136900E-1,8.741832376E-1,1.414023569E2,3.627896938E1,-2.211329250E1,1.312547546E2
1.332927690E-1,3.318905173E-1,2.903859317E-1,2.029962391E-1,8.742523789E-1,1.412328751E2,3.617774950E1,-2.190051545E1,1.311914355E2
1.382927690E-1,3.330439065E-1,2.887822986E-1,2.032135278E-1,8.742944598E-1,1.410927345E2,3.611649944E1,-2.169116453E1,1.311447628E2
1.432927690E-1,3.339857489E-1,2.872617543E-1,2.037383616E-1,8.743139505E-1,1.409782527E2,3.609100401E1,-2.148283682E1,1.311133026E2
1.482927690E-1,3.348247277E-1,2.857670486E-1,2.044477314E-1,8.743172884E-1,1.408762398E2,3.608585095E1,-2.127187415E1,1.310894995E2
1.532927690E-1,3.355041797E-1,2.843244374E-1,2.053244412E-1,8.743216991E-1,1.407936005E2,3.609974578E1,-2.106382126E1,1.310790841E2
1.582927690E-1,3.361221533E-1,2.828966677E-1,2.062480152E-1,8.743301034E-1,1.407184201E2,3.611873609E1,-2.085726397E1,1.310743835E2
1.632927690E-1,3.367028561E-1,2.814606726E-1,2.071867883E-1,8.743481636E-1,1.406477579E2,3.613823988E1,-2.065061826E1,1.310743582E2
1.682927690E-1,3.373291018E-1,2.799982429E-1,2.080464959E-1,8.743721843E-1,1.405715364E2,3.614818656E1,-2.044359336E1,1.310714975E2
1.732927690E-1,3.379615734E-1,2.785275578E-1,2.088285983E-1,8.744112253E-1,1.404945386E2,3.614919092E1,-2.023938057E1,1.310694424E2
1.782927690E-1,3.386542263E-1,2.770316303E-1,2.094724625E-1,8.744644523E-1,1.404101931E2,3.613442690E1,-2.003725964E1,1.310635305E2
1.832927690E-1,3.394280722E-1,2.754883468E-1,2.100003213E-1,8.745253682E-1,1.403159340E2,3.610530712E1,-1.983320191E1,1.310520807E2
1.882927690E-1,3.402642567E-1,2.739187181E-1,2.103921920E-1,8.745992780E-1,1.402140503E2,3.606065179E1,-1.963094633E1,1.310363781E2
1.932927690E-1,3.411043158E-1,2.723676264E-1,2.106734961E-1,8.746887445E-1,1.401116615E2,3.600516480E1,-1.943580596E1,1.310204521E2
1.982927690E-1,3.419703709E-1,2.708232403E-1,2.108713239E-1,8.747824430E-1,1.400060695E2,3.594149421E1,-1.924445898E1,1.310018523E2
2.032927690E-1,3.428400072E-1,2.693029940E-1,2.110063285E-1,8.748788238E-1,1.399000052E2,3.587266190E1,-1.905842576E1,1.309819611E2
2.082927690E-1,3.437192169E-1,2.678012252E-1,2.111148238E-1,8.749686480E-1,1.397927368E2,3.580242714E1,-1.887514098E1,1.309598338E2
2.132927690E-1,3.445876203E-1,2.663269639E-1,2.112310976E-1,8.750489950E-1,1.396867508E2,3.573479688E1,-1.869455917E1,1.309369403E2
2.182927690E-1,3.454601403E-1,2.648721039E-1,2.113502622E-1,8.751177788E-1,1.395802261E2,3.566895392E1,-1.851557257E1,1.309120247E2
2.232927690E-1,3.463320562E-1,2.634407580E-1,2.114873677E-1,8.751720786E-1,1.394737387E2,3.560672949E1,-1.833801280E1,1.308852334E2
2.282927690E-1,3.471972729E-1,2.620336711E-1,2.116578668E-1,8.752104640E-1,1.393680334E2,3.554975381E1,-1.816141804E1,1.308570762E2
