"Time (s)","Pressure (hPa)"
1.480619350E-1,9.866129150E2
1.880602690E-1,9.866215820E2
2.280659980E-1,9.866345215E2
2.680626120E-1,9.866422119E2
3.080626120E-1,9.866578369E2
3.480698000E-1,9.866707764E2
3.880690710E-1,9.866830444E2
4.280694870E-1,9.866904907E2
4.680555290E-1,9.866978760E2
5.080613100E-1,9.867059326E2
5.480662580E-1,9.867160645E2
5.880646960E-1,9.867230835E2
6.280633940E-1,9.867305298E2
6.680674040E-1,9.867402954E2
7.080697480E-1,9.867471313E2
7.480671440E-1,9.867510376E2
7.880602690E-1,9.867570801E2
8.280584980E-1,9.867609863E2
8.680602690E-1,9.867628174E2
9.080636540E-1,9.867686768E2
9.480628730E-1,9.867760010E2
9.880747480E-1,9.867811279E2
1.028070060E0,9.867867432E2
1.068070842E0,9.867933960E2
1.108060217E0,9.867990723E2
1.148061154E0,9.868040771E2
1.188055165E0,9.868074951E2
1.228063654E0,9.868090210E2
1.268062873E0,9.868107910E2
1.308063394E0,9.868123779E2
1.348066987E0,9.868125610E2
1.388067404E0,9.868146973E2
1.428069956E0,9.868211670E2
1.468061571E0,9.868254395E2
1.508059123E0,9.868261108E2
1.548066519E0,9.868287354E2
1.588062612E0,9.868322754E2
1.628063654E0,9.868330688E2
1.668068706E0,9.868352051E2
1.708067612E0,9.868385010E2
1.748069227E0,9.868410645E2
1.788059279E0,9.868446045E2
1.828055008E0,9.868485107E2
1.868069644E0,9.868514404E2
1.908061050E0,9.868535767E2
1.948063915E0,9.868549194E2
1.988066987E0,9.868541260E2
2.028070321E0,9.868521118E2
2.068066727E0,9.868516235E2
2.108059540E0,9.868530884E2
2.148064748E0,9.868557129E2
2.188070946E0,9.868592529E2
2.228061831E0,9.868631592E2
2.268061831E0,9.868660889E2
2.308065894E0,9.868676147E2
2.348067612E0,9.868690186E2
2.388067769E0,9.868703613E2
2.428059748E0,9.868719482E2
2.468059227E0,9.868711548E2
2.508060269E0,9.868699951E2
2.548063133E0,9.868702393E2
2.588065217E0,9.868703613E2
2.628066831E0,9.868696899E2
2.668066467E0,9.868702393E2
2.708067456E0,9.868729248E2
2.748069175E0,9.868758545E2
2.788060477E0,9.868782959E2
2.828058446E0,9.868831787E2
2.868064435E0,9.868890991E2
2.908063133E0,9.868921509E2
2.948060529E0,9.868931885E2
2.988067665E0,9.868944092E2
3.028069852E0,9.868950806E2
3.068067144E0,9.868947754E2
3.108055894E0,9.868965454E2
3.148059227E0,9.868980713E2
3.188060529E0,9.868977051E2
3.228061571E0,9.868969116E2
3.268061831E0,9.868962402E2
3.308066987E0,9.868961182E2
3.348066883E0,9.868972168E2
3.388066571E0,9.868988037E2
3.428057717E0,9.868998413E2
3.468059696E0,9.869010010E2
3.508064175E0,9.869014893E2
3.548064175E0,9.869012451E2
3.588062092E0,9.869048462E2
3.628073446E0,9.869074707E2
3.668068706E0,9.869074707E2
3.708059435E0,9.869073486E2
3.748060529E0,9.869072876E2
3.788059904E0,9.869053345E2
3.828061310E0,9.869064941E2
3.868065737E0,9.869102173E2
3.908063394E0,9.869116821E2
3.948065373E0,9.869121704E2
3.988069019E0,9.869141235E2
4.028067352E0,9.869154663E2
4.068057092E0,9.869169312E2
4.108064175E0,9.869207764E2
4.148057821E0,9.869238892E2
4.188063394E0,9.869242554E2
4.228061831E0,9.869229736E2
4.268066779E0,9.869217529E2
4.308065269E0,9.869201660E2
4.348068394E0,9.869197998E2
4.388068029E0,9.869197998E2
4.428061831E0,9.869191895E2
4.468057248E0,9.869183960E2
4.508063654E0,9.869172363E2
4.548067300E0,9.869182129E2
4.588063654E0,9.869195557E2
4.628071623E0,9.869208374E2
4.668070894E0,9.869204712E2
4.708067873E0,9.869207764E2
4.748060269E0,9.869190063E2
4.788055112E0,9.869151611E2
4.828062612E0,9.869143066E2
4.868065737E0,9.869168701E2
4.908064435E0,9.869199829E2
4.948061102E0,9.869223022E2
4.988066883E0,9.869252319E2
5.028066935E0,9.869257202E2
5.068061310E0,9.869244385E2
5.108057040E0,9.869219360E2
5.148066258E0,9.869208374E2
5.188062352E0,9.869221191E2
5.228064956E0,9.869241943E2
5.268066935E0,9.869254150E2
5.308069279E0,9.869279785E2
5.348058758E0,9.869310303E2
5.388059123E0,9.869317017E2
5.428056571E0,9.869322510E2
5.468069540E0,9.869338379E2
5.508060269E0,9.869357910E2
5.548063654E0,9.869356689E2
5.588065685E0,9.869356079E2
5.628070321E0,9.869354248E2
5.668056831E0,9.869359741E2
5.708057977E0,9.869353027E2
5.748059123E0,9.869334717E2
5.788056519E0,9.869326782E2
5.828062352E0,9.869300537E2
5.868064435E0,9.869253540E2
5.908061050E0,9.869227295E2
5.948068237E0,9.869222412E2
5.988068290E0,9.869224243E2
6.028069019E0,9.869232178E2
6.068061310E0,9.869234619E2
6.108056362E0,9.869223022E2
6.148060269E0,9.869215088E2
6.188062352E0,9.869219360E2
6.228063029E0,9.869230957E2
6.268067248E0,9.869244385E2
6.308066258E0,9.869254150E2
6.348066987E0,9.869260254E2
6.388059331E0,9.869237061E2
6.428055946E0,9.869219360E2
6.468061310E0,9.869223022E2
