
time,ax,ay,az,wx,wy,wz,I,Latitude,Longitude,Speed (m/s),
13:20:04:811,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,202.9725,0.00000000,0.00000000,0.00000000,
13:20:04:850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,202.9725,50.37325180,16.31052800,0.00000000,
13:20:04:860,0.0000,0.0000,0.0000,0.1736,0.0334,0.0565,202.9725,50.37325180,16.31052800,0.00000000,
13:20:04:916,0.0000,0.0000,0.0000,0.1736,0.0334,0.0565,202.9725,50.37325180,16.31052800,0.00000000,
13:20:04:928,0.0000,0.0000,0.0000,-0.2669,0.1168,0.0108,202.9725,50.37325180,16.31052800,0.00000000,
13:20:04:943,0.0000,0.0000,0.0000,-0.2669,0.1168,0.0108,202.9725,50.37325180,16.31052800,0.00000000,
13:20:04:965,0.0000,0.0000,0.0000,-0.2669,0.1168,0.0108,204.9975,50.37325180,16.31052800,0.00000000,
13:20:04:983,0.0000,0.0000,0.0000,-0.2669,0.1168,0.0108,204.9975,50.37325180,16.31052800,0.00000000,
13:20:04:996,0.0000,0.0000,0.0000,-0.4224,0.1069,-0.0005,204.9975,50.37325180,16.31052800,0.00000000,
13:20:05:008,-0.0136,0.0870,0.0615,-0.4224,0.1069,-0.0005,204.9975,50.37325180,16.31052800,0.00000000,
13:20:05:050,-0.0136,0.0870,0.0615,-0.4224,0.1069,-0.0005,204.9975,50.37325180,16.31052800,0.00000000,
13:20:05:064,-0.0136,0.0870,0.0615,-0.1555,0.0702,0.0021,204.9975,50.37325180,16.31052800,0.00000000,
13:20:05:077,-0.0020,-0.1166,0.3922,-0.1555,0.0702,0.0021,204.9975,50.37325180,16.31052800,0.00000000,
13:20:05:118,-0.0020,-0.1166,0.3922,-0.1555,0.0702,0.0021,204.9975,50.37325180,16.31052800,0.00000000,
13:20:05:131,-0.0020,-0.1166,0.3922,0.1571,0.0296,-0.0185,204.9975,50.37325180,16.31052800,0.00000000,
13:20:05:144,-0.1105,-0.3189,0.5017,0.1571,0.0296,-0.0185,204.9975,50.37325180,16.31052800,0.00000000,
13:20:05:187,-0.1105,-0.3189,0.5017,0.1571,0.0296,-0.0185,204.9975,50.37325180,16.31052800,0.00000000,
13:20:05:199,-0.1105,-0.3189,0.5017,0.1903,0.0290,0.0463,204.9975,50.37325180,16.31052800,0.00000000,
13:20:05:214,-0.2379,-0.3855,0.2500,0.1903,0.0290,0.0463,204.9975,50.37325180,16.31052800,0.00000000,
13:20:05:256,-0.2379,-0.3855,0.2500,0.1903,0.0290,0.0463,204.9975,50.37325180,16.31052800,0.00000000,
13:20:05:267,-0.2379,-0.3855,0.2500,0.0292,0.0096,0.1029,204.9975,50.37325180,16.31052800,0.00000000,
13:20:05:280,-0.2117,-0.2322,-0.0753,0.0292,0.0096,0.1029,204.9975,50.37325180,16.31052800,0.00000000,
13:20:05:285,-0.2117,-0.2322,-0.0753,0.0292,0.0096,0.1029,206.0100,50.37325180,16.31052800,0.00000000,
13:20:05:321,-0.2117,-0.2322,-0.0753,0.0292,0.0096,0.1029,206.0100,50.37325180,16.31052800,0.00000000,
13:20:05:335,-0.2117,-0.2322,-0.0753,-0.0339,0.0580,0.0739,206.0100,50.37325180,16.31052800,0.00000000,
13:20:05:347,0.0128,-0.0250,-0.0502,-0.0339,0.0580,0.0739,206.0100,50.37325180,16.31052800,0.00000000,
13:20:05:391,0.0128,-0.0250,-0.0502,-0.0339,0.0580,0.0739,206.0100,50.37325180,16.31052800,0.00000000,
13:20:05:402,0.0128,-0.0250,-0.0502,-0.0006,0.0180,0.0385,206.0100,50.37325180,16.31052800,0.00000000,
13:20:05:415,0.0757,0.0348,0.0141,-0.0006,0.0180,0.0385,206.0100,50.37325180,16.31052800,0.00000000,
13:20:05:445,0.0757,0.0348,0.0141,-0.0006,0.0180,0.0385,208.9800,50.37325180,16.31052800,0.00000000,
13:20:05:458,0.0757,0.0348,0.0141,-0.0006,0.0180,0.0385,208.9800,50.37325180,16.31052800,0.00000000,
13:20:05:470,0.0757,0.0348,0.0141,0.0449,0.0168,0.0040,208.9800,50.37325180,16.31052800,0.00000000,
13:20:05:482,0.0968,0.0077,0.1433,0.0449,0.0168,0.0040,208.9800,50.37325180,16.31052800,0.00000000,
13:20:05:526,0.0968,0.0077,0.1433,0.0449,0.0168,0.0040,208.9800,50.37325180,16.31052800,0.00000000,
13:20:05:539,0.0968,0.0077,0.1433,0.0376,0.0241,-0.0008,208.9800,50.37325180,16.31052800,0.00000000,
13:20:05:551,-0.0440,-0.0806,-0.0124,0.0376,0.0241,-0.0008,208.9800,50.37325180,16.31052800,0.00000000,
13:20:05:595,-0.0440,-0.0806,-0.0124,0.0376,0.0241,-0.0008,208.9800,50.37325180,16.31052800,0.00000000,
13:20:05:607,-0.0440,-0.0806,-0.0124,0.0089,-0.0063,0.0502,208.9800,50.37325180,16.31052800,0.00000000,
13:20:05:619,-0.1125,-0.0963,-0.0339,0.0089,-0.0063,0.0502,208.9800,50.37325180,16.31052800,0.00000000,
13:20:05:661,-0.1125,-0.0963,-0.0339,0.0089,-0.0063,0.0502,208.9800,50.37325180,16.31052800,0.00000000,
13:20:05:676,-0.1125,-0.0963,-0.0339,-0.0020,-0.0107,0.0176,208.9800,50.37325180,16.31052800,0.00000000,
13:20:05:687,-0.0383,-0.0641,-0.0112,-0.0020,-0.0107,0.0176,208.9800,50.37325180,16.31052800,0.00000000,
13:20:05:729,-0.0383,-0.0641,-0.0112,-0.0020,-0.0107,0.0176,208.9800,50.37325180,16.31052800,0.00000000,
13:20:05:742,-0.0383,-0.0641,-0.0112,-0.0024,0.0145,0.0437,208.9800,50.37325180,16.31052800,0.00000000,
13:20:05:755,-0.0237,-0.0015,0.0351,-0.0024,0.0145,0.0437,208.9800,50.37325180,16.31052800,0.00000000,
13:20:05:797,-0.0237,-0.0015,0.0351,-0.0024,0.0145,0.0437,208.9800,50.37325180,16.31052800,0.00000000,
13:20:05:809,-0.0237,-0.0015,0.0351,-0.0162,0.0063,0.0073,208.9800,50.37325180,16.31052800,0.00000000,
13:20:05:823,0.0484,0.0399,0.0067,-0.0162,0.0063,0.0073,208.9800,50.37325180,16.31052800,0.00000000,
13:20:05:866,0.0484,0.0399,0.0067,-0.0162,0.0063,0.0073,208.9800,50.37325180,16.31052800,0.00000000,
13:20:05:877,0.0484,0.0399,0.0067,-0.0319,0.0176,-0.0060,208.9800,50.37325180,16.31052800,0.00000000,
