
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,I,Latitude,Longitude,Speed (m/s),
13:21:13:515,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.0100,0.00000000,0.00000000,0.00000000,
13:21:13:556,0.0020,0.4415,0.8701,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.0100,50.37562996,16.28175822,0.00000000,
13:21:13:563,0.0020,0.4415,0.8701,0.0000,0.0000,0.0000,0.0522,0.0104,-0.0174,179.0100,50.37562996,16.28175822,0.00000000,
13:21:13:623,-0.0078,0.4391,0.9071,0.0000,0.0000,0.0000,0.0522,0.0104,-0.0174,179.0100,50.37562996,16.28175822,0.00000000,
13:21:13:631,-0.0078,0.4391,0.9071,0.0000,0.0000,0.0000,0.0466,0.0750,0.0538,179.0100,50.37562996,16.28175822,0.00000000,
13:21:13:648,-0.0078,0.4391,0.9071,0.0000,0.0000,0.0000,0.0466,0.0750,0.0538,179.0100,50.37562996,16.28175822,0.00000000,
13:21:13:691,-0.0129,0.4429,0.9029,0.0000,0.0000,0.0000,0.0466,0.0750,0.0538,179.0100,50.37562996,16.28175822,0.00000000,
13:21:13:699,-0.0129,0.4429,0.9029,0.0000,0.0000,0.0000,0.0110,0.0806,0.0541,179.0100,50.37562996,16.28175822,0.00000000,
13:21:13:716,-0.0129,0.4429,0.9029,-0.0406,0.0420,0.1049,0.0110,0.0806,0.0541,179.0100,50.37562996,16.28175822,0.00000000,
13:21:13:758,-0.0147,0.4399,0.9041,-0.0406,0.0420,0.1049,0.0110,0.0806,0.0541,179.0100,50.37562996,16.28175822,0.00000000,
13:21:13:764,-0.0147,0.4399,0.9041,-0.0406,0.0420,0.1049,0.0110,0.0806,0.0541,179.0100,50.37562996,16.28175822,0.00000000,
13:21:13:766,-0.0147,0.4399,0.9041,-0.0406,0.0420,0.1049,0.0101,0.0712,0.0124,179.0100,50.37562996,16.28175822,0.00000000,
13:21:13:784,-0.0147,0.4399,0.9041,0.0461,0.0067,0.1126,0.0101,0.0712,0.0124,179.0100,50.37562996,16.28175822,0.00000000,
