
time,gFx,gFy,gFz,ax,ay,az,I,Latitude,Longitude,Speed (m/s),
15:00:31:977,0.1120,0.1016,1.0967,0.0000,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
15:00:31:977,0.1120,0.1016,1.0967,0.0000,0.0000,0.0000,689.9850,50.37556715,16.28176408,0.00000000,
15:00:31:992,0.1120,0.1016,1.0967,0.0000,0.0000,0.0000,682.0200,50.37556715,16.28176408,0.00000000,
15:00:31:992,0.1560,0.0621,1.0735,0.0000,0.0000,0.0000,682.0200,50.37556715,16.28176408,0.00000000,
15:00:32:006,0.1068,0.0597,1.0358,0.0000,0.0000,0.0000,682.0200,50.37556715,16.28176408,0.00000000,
15:00:32:026,0.0460,0.0746,0.9992,0.0000,0.0000,0.0000,682.0200,50.37556715,16.28176408,0.00000000,
15:00:32:035,0.0460,0.0746,0.9992,0.0000,0.0000,0.0000,682.0200,50.37556715,16.28176408,0.00000000,
15:00:32:048,0.0459,0.0820,0.9696,0.0000,0.0000,0.0000,682.0200,50.37556715,16.28176408,0.00000000,
15:00:32:070,0.0676,0.0837,0.9624,0.0000,0.0000,0.0000,682.0200,50.37556715,16.28176408,0.00000000,
15:00:32:090,0.0649,0.0799,0.9698,0.0000,0.0000,0.0000,682.0200,50.37556715,16.28176408,0.00000000,
15:00:32:102,0.0649,0.0799,0.9698,0.0000,0.0000,0.0000,682.0200,50.37556715,16.28176408,0.00000000,
15:00:32:111,0.0494,0.0817,0.9858,0.0000,0.0000,0.0000,682.0200,50.37556715,16.28176408,0.00000000,
15:00:32:112,0.0494,0.0817,0.9858,0.0000,0.0000,0.0000,682.0200,50.37556715,16.28176408,0.00000000,
15:00:32:132,0.0447,0.0802,0.9964,0.0000,0.0000,0.0000,682.0200,50.37556715,16.28176408,0.00000000,
15:00:32:143,0.0447,0.0802,0.9964,0.0000,0.0000,0.0000,677.9700,50.37556715,16.28176408,0.00000000,
15:00:32:155,0.0463,0.0775,1.0082,0.0000,0.0000,0.0000,677.9700,50.37556715,16.28176408,0.00000000,
15:00:32:172,0.0463,0.0775,1.0082,0.0000,0.0000,0.0000,677.9700,50.37556715,16.28176408,0.00000000,
15:00:32:174,0.0451,0.0757,1.0152,0.0000,0.0000,0.0000,677.9700,50.37556715,16.28176408,0.00000000,
15:00:32:178,0.0451,0.0757,1.0152,-0.0682,0.0769,-0.1965,677.9700,50.37556715,16.28176408,0.00000000,
15:00:32:196,0.0435,0.0793,1.0148,-0.0682,0.0769,-0.1965,677.9700,50.37556715,16.28176408,0.00000000,
15:00:32:217,0.0492,0.0780,1.0066,-0.0682,0.0769,-0.1965,677.9700,50.37556715,16.28176408,0.00000000,
15:00:32:238,0.0492,0.0780,1.0066,-0.0682,0.0769,-0.1965,677.9700,50.37556715,16.28176408,0.00000000,
15:00:32:240,0.0529,0.0847,1.0055,-0.0682,0.0769,-0.1965,677.9700,50.37556715,16.28176408,0.00000000,
15:00:32:247,0.0529,0.0847,1.0055,-0.1439,-0.0134,0.1024,677.9700,50.37556715,16.28176408,0.00000000,
15:00:32:259,0.0634,0.0861,0.9945,-0.1439,-0.0134,0.1024,677.9700,50.37556715,16.28176408,0.00000000,
15:00:32:281,0.0712,0.0917,0.9870,-0.1439,-0.0134,0.1024,677.9700,50.37556715,16.28176408,0.00000000,
15:00:32:302,0.0651,0.1029,0.9839,-0.1439,-0.0134,0.1024,677.9700,50.37556715,16.28176408,0.00000000,
